WardID,Ward,Local Authority,Percent change
E05000452,Sydenham,Lewisham,7.7
E05000318,Rainham and Wennington,Havering,-4
E05011235,Barkingside,Redbridge,50.9
E05011222,Crayford,Bexley,34.8
E05000142,Regent's Park,Camden,13.5
E05000136,Haverstock,Camden,12.5
E05000269,Crouch End,Haringey,6.8
E05000284,Woodside,Haringey,8
E05011462,Addiscombe East,Croydon,46
E05000634,Church Street,Westminster,3.1
E05000610,Balham,Wandsworth,8.5
E05000339,Townfield,Hillingdon,14.6
E05000461,Graveney,Merton,4.7
E05000526,North Richmond,Richmond upon Thames,5.4
E05000354,Hanworth Park,Hounslow,0.6
E05000298,Pinner South,Harrow,-4.3
E05000110,Chelsfield and Pratts Bottom,Bromley,4.7
E05000305,West Harrow,Harrow,10
E05000430,Streatham Hill,Lambeth,17
E05000174,Ealing Common,Ealing,5.6
E05000040,Valence,Barking and Dagenham,33.7
E05000559,Carshalton South and Clockhouse,Sutton,0.1
E05000052,Garden Suburb,Barnet,-6.7
E05000604,Leyton,Waltham Forest,8
E05009373,Hackney Downs,Hackney,-7
E05000337,Pinkwell,Hillingdon,22
E05000426,Oval,Lambeth,0
E05000330,Harefield,Hillingdon,4.9
E05011468,Fairfield,Croydon,20.9
E05000345,Yiewsley,Hillingdon,13.2
E05009367,Brownswood,Hackney,3.6
E05000417,Brixton Hill,Lambeth,-3.7
E05000618,Nightingale,Wandsworth,10.9
E05000223,Kidbrooke with Hornfair,Greenwich,9.9
E05000262,Sands End,Hammersmith and Fulham,14.3
E05000601,Hoe Street,Waltham Forest,-5.1
E05000296,Marlborough,Harrow,12.8
E05000035,Longbridge,Barking and Dagenham,32.3
E05000033,Goresbrook,Barking and Dagenham,26.3
E05000207,Southbury,Enfield,14.1
E05000563,Stonecot,Sutton,7.3
E05000266,Alexandra,Haringey,5.4
E05000436,Vassall,Lambeth,9.9
E05011489,Woodside,Croydon,11.8
E05000257,Munster,Hammersmith and Fulham,9
E05000324,Barnhill,Hillingdon,12.7
E05000462,Hillside,Merton,0.4
E05009374,Hackney Wick,Hackney,12.6
E05000271,Harringay,Haringey,11.4
E05011474,Old Coulsdon,Croydon,13.2
E05009400,Pembridge,Kensington and Chelsea,4.5
E05009369,Clissold,Hackney,7.4
E05000367,Bunhill,Islington,6.2
E05000572,Worcester Park,Sutton,6.5
E05000317,Pettits,Havering,-1.1
E05000412,St Mark's,Kingston upon Thames,1.7
E05000098,Queens Park,Brent,-3.7
E05000307,Cranham,Havering,3.5
E05009372,Hackney Central,Hackney,5.9
E05009379,King's Park,Hackney,6
E05000190,Southall Green,Ealing,-3.4
E05000059,Totteridge,Barnet,2.5
E05009328,Poplar,Tower Hamlets,-0.2
E05011252,South Woodford,Redbridge,37.4
E05000283,White Hart Lane,Haringey,18.5
E05000605,Leytonstone,Waltham Forest,9.6
E05000447,Lee Green,Lewisham,4.4
E05011248,Mayfield,Redbridge,68.9
E05000427,Prince's,Lambeth,1.8
E05000143,St Pancras and Somers Town,Camden,4.4
E05000331,Heathrow Villages,Hillingdon,10.9
E05009391,Chelsea Riverside,Kensington and Chelsea,6
E05000533,Whitton,Richmond upon Thames,1.9
E05011103,Goose Green,Southwark,37.9
E05000355,Heston Central,Hounslow,6.2
E05000524,Kew,Richmond upon Thames,-1.8
E05000346,Bedfont,Hounslow,5.2
E05000609,Wood Street,Waltham Forest,9.7
E05000625,Thamesfield,Wandsworth,0.9
E05000361,Hounslow West,Hounslow,12.5
E05011473,Norbury Park,Croydon,54.5
E05000253,College Park and Old Oak,Hammersmith and Fulham,17.3
E05000294,Kenton East,Harrow,5.2
E05000527,St Margarets and North Twickenham,Richmond upon Thames,3.4
E05000450,Perry Vale,Lewisham,6.4
E05000565,Sutton North,Sutton,8.6
E05009334,Stepney Green,Tower Hamlets,17.8
E05000034,Heath,Barking and Dagenham,22.6
E05000091,Harlesden,Brent,18.1
E05000590,Cann Hall,Waltham Forest,8.5
E05000135,Hampstead Town,Camden,4.1
E05000648,Westbourne,Westminster,8.1
E05000210,Town,Enfield,4.7
E05000597,Hale End and Highams Park,Waltham Forest,12.8
E05011479,Selhurst,Croydon,18.7
E05000230,Woolwich Riverside,Greenwich,14.7
E05009399,Notting Dale,Kensington and Chelsea,-6
E05000599,High Street,Waltham Forest,4.4
E05000214,Abbey Wood,Greenwich,17.1
E05000323,Upminster,Havering,3.5
E05000357,Heston West,Hounslow,9.4
E05011465,Broad Green,Croydon,15.3
E05000352,Feltham West,Hounslow,3.5
E05011101,Dulwich Wood,Southwark,58.3
E05000198,Enfield Highway,Enfield,25.1
E05000410,Old Malden,Kingston upon Thames,-0.6
E05000173,Ealing Broadway,Ealing,5.5
E05000455,Abbey,Merton,-1
E05000270,Fortis Green,Haringey,8
E05000130,Camden Town with Primrose Hill,Camden,4.5
E05000407,Coombe Vale,Kingston upon Thames,-7.5
E05009370,Dalston,Hackney,-7.6
E05011475,Park Hill and Whitgift,Croydon,31.1
E05000061,West Finchley,Barnet,-1.7
E05000359,Hounslow Heath,Hounslow,1.9
E05000186,Norwood Green,Ealing,-1
E05000049,East Finchley,Barnet,2.9
E05011486,Thornton Heath,Croydon,9.3
E05000445,Grove Park,Lewisham,9.3
E05000571,Wandle Valley,Sutton,12.4
E05000105,Willesden Green,Brent,
E05011116,South Bermondsey,Southwark,47
E05000037,Parsloes,Barking and Dagenham,19.1
E05000381,Tollington,Islington,6.8
E05000128,Belsize,Camden,1.8
E05000603,Lea Bridge,Waltham Forest,1.6
E05000619,Northcote,Wandsworth,0.3
E05000440,Catford South,Lewisham,7.8
E05000026,Abbey,Barking and Dagenham,27.7
E05000477,Canning Town North,Newham,15.1
E05000560,Cheam,Sutton,2.2
E05009395,Earl's Court,Kensington and Chelsea,5.4
E05000564,Sutton Central,Sutton,12.6
E05000615,Furzedown,Wandsworth,6.4
E05011484,South Croydon,Croydon,32.9
E05000616,Graveney,Wandsworth,10.1
E05000258,North End,Hammersmith and Fulham,17.1
E05000366,Barnsbury,Islington,-3.6
E05011225,Erith,Bexley,61.9
E05000484,Forest Gate South,Newham,6.9
E05000476,Boleyn,Newham,7.8
E05000108,Bromley Common and Keston,Bromley,6
E05000103,Welsh Harp,Brent,13.2
E05000493,Wall End,Newham,17.6
E05000364,Syon,Hounslow,14
E05000310,Gooshays,Havering,4.5
E05000185,Northolt West End,Ealing,5.5
E05009380,Lea Bridge,Hackney,9.8
E05000372,Highbury East,Islington,0.1
E05000403,Canbury,Kingston upon Thames,-4.4
E05000030,Eastbrook,Barking and Dagenham,6.1
E05000122,Orpington,Bromley,6.3
E05000293,Headstone South,Harrow,11.6
E05011482,Shirley North,Croydon,37.7
E05011247,Loxford,Redbridge,83.1
E05000203,Jubilee,Enfield,5
E05009331,St Peter's,Tower Hamlets,16.4
E05000568,The Wrythe,Sutton,4.1
E05011232,Thamesmead East,Bexley,67.5
E05000213,Winchmore Hill,Enfield,9.8
E05000062,West Hendon,Barnet,0.3
E05000308,Elm Park,Havering,8.5
E05000646,Vincent Square,Westminster,11.1
E05011481,Selsdon Vale and Forestdale,Croydon,20.2
E05000424,Knight's Hill,Lambeth,2.4
E05011104,London Bridge and West Bermondsey,Southwark,
E05011217,Barnehurst,Bexley,33.4
E05000204,Lower Edmonton,Enfield,3.9
E05000414,Tolworth and Hook Rise,Kingston upon Thames,-3.2
E05011100,Dulwich Village,Southwark,37.9
E05000255,Fulham Reach,Hammersmith and Fulham,12.4
E05000097,Preston,Brent,13.5
E05009405,Stanley,Kensington and Chelsea,13.1
E05000360,Hounslow South,Hounslow,11.1
E05000127,West Wickham,Bromley,2
E05000459,Dundonald,Merton,-8.4
E05011243,Fullwell,Redbridge,53.4
E05000460,Figge's Marsh,Merton,1.2
E05000429,Stockwell,Lambeth,10.2
E05000109,Bromley Town,Bromley,0.7
E05000043,Brunswick Park,Barnet,-0.8
E05011240,Clementswood,Redbridge,83.5
E05009383,Springfield,Hackney,1.1
E05000443,Evelyn,Lewisham,6.6
E05000181,Lady Margaret,Ealing,10.2
E05009322,Bromley South,Tower Hamlets,5
E05009371,De Beauvoir,Hackney,6.6
E05000187,Perivale,Ealing,14.7
E05000224,Middle Park and Sutcliffe,Greenwich,18.3
E05000095,Mapesbury,Brent,19.1
E05000409,Norbiton,Kingston upon Thames,-7.2
E05000316,Mawneys,Havering,-2.4
E05009394,Dalgarno,Kensington and Chelsea,11.3
E05000211,Turkey Street,Enfield,20
E05000219,Eltham South,Greenwich,13.3
E05011255,Wanstead Village,Redbridge,43.4
E05000209,Southgate Green,Enfield,7.5
E05009319,Bow East,Tower Hamlets,11.2
E05000341,Uxbridge South,Hillingdon,12.8
E05000281,Tottenham Hale,Haringey,8.2
E05011472,Norbury and Pollards Hill,Croydon,67.7
E05000375,Holloway,Islington,4.2
E05000408,Grove,Kingston upon Thames,-10.1
E05000184,Northolt Mandeville,Ealing,7.2
E05000453,Telegraph Hill,Lewisham,19.2
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,20
E05009325,Lansbury,Tower Hamlets,-0.3
E05000312,Harold Wood,Havering,6.7
E05009385,Stoke Newington,Hackney,3.9
E05011112,Rotherhithe,Southwark,45.8
E05000491,Royal Docks,Newham,-5.2
E05000602,Larkswood,Waltham Forest,8.5
E05000486,Green Street West,Newham,19
E05011238,Churchfields,Redbridge,37.6
E05009396,Golborne,Kensington and Chelsea,15.8
E05000636,Hyde Park,Westminster,6.7
E05000334,Manor,Hillingdon,6
E05000291,Hatch End,Harrow,5.6
E05000472,Village,Merton,-2.9
E05000192,Walpole,Ealing,7.9
E05000591,Cathall,Waltham Forest,7.8
E05000421,Ferndale,Lambeth,-0.9
E05000332,Hillingdon East,Hillingdon,10.7
E05000172,Dormers Wells,Ealing,-4.9
E05009376,Homerton,Hackney,13
E05000451,Rushey Green,Lewisham,10.5
E05009327,Mile End,Tower Hamlets,7.8
E05000630,Abbey Road,Westminster,-2.7
E05000145,West Hampstead,Camden,6
E05000088,Dollis Hill,Brent,11.9
E05000117,Darwin,Bromley,4.2
E05000051,Finchley Church End,Barnet,-2.3
E05000641,Marylebone High Street,Westminster,0.3
E05000053,Golders Green,Barnet,0.3
E05000405,Chessington South,Kingston upon Thames,-3.2
E05009393,Courtfield,Kensington and Chelsea,-3.9
E05000058,Oakleigh,Barnet,8.3
E05011228,Northumberland Heath,Bexley,42.6
E05000557,Belmont,Sutton,4.9
E05000640,Maida Vale,Westminster,12.5
E05000176,Elthorne,Ealing,1.3
E05000326,Brunel,Hillingdon,9.6
E05000260,Parsons Green and Walham,Hammersmith and Fulham,1.1
E05000182,Northfield,Ealing,8.3
E05000028,Becontree,Barking and Dagenham,15.9
E05009336,Whitechapel,Tower Hamlets,14.6
E05000290,Harrow Weald,Harrow,6
E05000467,Pollards Hill,Merton,14
E05000637,Knightsbridge and Belgravia,Westminster,-1.5
E05000107,Biggin Hill,Bromley,-2.4
E05000483,Forest Gate North,Newham,4.7
E05000457,Colliers Wood,Merton,10.5
E05000309,Emerson Park,Havering,3.9
E05000268,Bruce Grove,Haringey,9.6
E05000425,Larkhall,Lambeth,8.6
E05000593,Chingford Green,Waltham Forest,7.4
E05000292,Headstone North,Harrow,28.2
E05000349,Chiswick Riverside,Hounslow,15.9
E05000473,West Barnes,Merton,8.7
E05000566,Sutton South,Sutton,7.5
E05009330,St Katharine's and Wapping,Tower Hamlets,4.3
E05000645,Tachbrook,Westminster,15.7
E05000265,Wormholt and White City,Hammersmith and Fulham,8.9
E05011463,Addiscombe West,Croydon,51.6
E05009335,Weavers,Tower Hamlets,27.6
E05000464,Longthornton,Merton,6.3
E05009390,Campden,Kensington and Chelsea,-1.6
E05000620,Queenstown,Wandsworth,11
E05000315,Hylands,Havering,5.8
E05000469,Raynes Park,Merton,1.9
E05000494,West Ham,Newham,11
E05000129,Bloomsbury,Camden,9.5
E05000643,Regent's Park,Westminster,3.5
E05000134,Gospel Oak,Camden,1.7
E05000621,Roehampton and Putney Heath,Wandsworth,4.9
E05000222,Greenwich West,Greenwich,0.1
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,-5.6
E05000300,Rayners Lane,Harrow,9.8
E05000474,Wimbledon Park,Merton,-1.6
E05000206,Ponders End,Enfield,6.4
E05000288,Greenhill,Harrow,10.9
E05000220,Eltham West,Greenwich,15.5
E05011250,Newbury,Redbridge,53.6
E05000528,South Richmond,Richmond upon Thames,-4.1
E05000320,St Andrew's,Havering,3.9
E05000419,Clapham Town,Lambeth,0.2
E05000629,West Putney,Wandsworth,6
E05009382,Shacklewell,Hackney,30.1
E05000102,Tokyngton,Brent,3.1
E05000048,East Barnet,Barnet,-0.2
E05000606,Markhouse,Waltham Forest,11.4
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,10.2
E05000611,Bedford,Wandsworth,11.9
E05000250,Addison,Hammersmith and Fulham,5.6
E05011220,Blackfen and Lamorbey,Bexley,20.3
E05000306,Brooklands,Havering,10.5
E05000624,Southfields,Wandsworth,12.9
E05000401,Berrylands,Kingston upon Thames,-2
E05000600,Higham Hill,Waltham Forest,-1
E05000437,Bellingham,Lewisham,4.2
